loci,loci_ampl_rate_Total,loci_ampl_rate_Municipality.2,loci_ampl_rate_Municipality.1,loci_ampl_rate_Municipality.3,loci_ampl_rate_Municipality.4,loci_ampl_rate_Municipality.5
PF3D7_0827100,0.945384615384615,0.907563025210084,0.952714535901926,0.97972972972973,0.944444444444444,0.586206896551724
GAMA,0.929230769230769,0.899159663865546,0.926444833625219,0.975225225225225,0.944444444444444,0.517241379310345
PF3D7_0830800_1,0.71,0.668067226890756,0.728546409807356,0.75,0.777777777777778,0.0344827586206896
RhopH3,0.669230769230769,0.651260504201681,0.691768826619965,0.684684684684685,0.888888888888889,0
PF3D7_0910000,0.931538461538462,0.894957983193277,0.926444833625219,0.981981981981982,0.944444444444444,0.551724137931034
PF3D7_0935400,0.899230769230769,0.88235294117647,0.896672504378284,0.945945945945946,0.944444444444444,0.344827586206897
PF3D7_1007900,0.88,0.861344537815126,0.877408056042032,0.934684684684685,0.944444444444444,0.206896551724138
PF3D7_1008700,0.918461538461538,0.88655462184874,0.919439579684764,0.959459459459459,0.944444444444444,0.517241379310345
PF10_0119,0.903076923076923,0.890756302521008,0.905429071803853,0.936936936936937,0.944444444444444,0.413793103448276
PF3D7_1018600,0.849230769230769,0.802521008403361,0.858143607705779,0.898648648648649,0.944444444444444,0.241379310344828
PF3D7_1022000,0.836923076923077,0.815126050420168,0.835376532399299,0.891891891891892,0.944444444444444,0.137931034482759
PF3D7_1034900_1,0.671538461538462,0.638655462184874,0.711033274956217,0.673423423423423,0.833333333333333,0.0344827586206896
PF3D7_1035100,0.883076923076923,0.873949579831933,0.868651488616462,0.948198198198198,0.944444444444444,0.206896551724138
PF3D7_1035700,0.881538461538461,0.861344537815126,0.865148861646235,0.957207207207207,0.944444444444444,0.172413793103448
PF3D7_1110200,0.86,0.840336134453782,0.84938704028021,0.925675675675676,0.944444444444444,0.172413793103448
PF3D7_1114900,0.857692307692308,0.840336134453782,0.870402802101576,0.891891891891892,0.944444444444444,0.172413793103448
PF3D7_1126100_1,0.787692307692308,0.810924369747899,0.831873905429072,0.740990990990991,0.944444444444444,0.344827586206897
PF3D7_1126100_2,0.713846153846154,0.680672268907563,0.732049036777583,0.747747747747748,0.833333333333333,0.0344827586206896
PF3D7_1129100,0.832307692307692,0.794117647058824,0.830122591943958,0.894144144144144,0.944444444444444,0.172413793103448
PfAMA_1,0.866923076923077,0.852941176470588,0.859894921190893,0.927927927927928,0.944444444444444,0.137931034482759
PF11_0373,0.930769230769231,0.899159663865546,0.938704028021016,0.975225225225225,0.944444444444444,0.344827586206897
PF3D7_1145400,0.908461538461538,0.873949579831933,0.901926444833625,0.966216216216216,0.944444444444444,0.413793103448276
PF3D7_1211900,0.887692307692308,0.857142857142857,0.880910683012259,0.954954954954955,0.944444444444444,0.206896551724138
GRP94,0.774615384615385,0.718487394957983,0.772329246935201,0.851351351351351,0.888888888888889,0.0344827586206896
PF3D7_1224000,0.676153846153846,0.701680672268908,0.747810858143608,0.603603603603604,0.888888888888889,0.0344827586206896
